,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,1.0,0.08258814512008175,0.0,0.0,0.0,0.0,0.0799804262722923,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.06279650945475805,0.005159424903177888,0.0,0.0,0.04985423520286715,0.0,0.0,0.0,0.0
cause,,,1.0,0.03870988623306847,0.023209389053416695,0.02108012504113195,0.07034617466054242,0.0,0.031469161766599425,0.07901241578263304,0.07167536313637005
concession,,,,1.0,0.03460837887067395,0.0,0.02223614686356862,0.0,0.003540033262057496,0.009288811515708368,0.0
contrast,,,,,1.0,0.0,0.023599632690541782,0.0,0.0,0.0,0.0
similarity,,,,,,1.0,0.27530991735537186,0.0,0.0,0.0,0.0
conjunction,,,,,,,1.0,0.0,0.015109593963348903,0.0735675337445249,0.0
disjunction,,,,,,,,1.0,0.0,0.0,0.0
instantiation,,,,,,,,,1.0,0.053311102560813985,0.0
level-of-detail,,,,,,,,,,1.0,0.07192021351313387
substitution,,,,,,,,,,,1.0
