,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,,0.32709284627092844,NA,NA,NA,NA,0.1523809523809524,NA,NA,0.05738418669453152,NA
cause,,,,NA,NA,0.0,NA,0.09372679304279852,NA,0.0,0.11141020710871834,NA
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,NA,0.11528592375366568,NA,NA,0.0,NA
similarity,,,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,,,NA,0.26156433978132887,NA,NA
disjunction,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,NA,NA
level-of-detail,,,,,,,,,,,,NA
manner,,,,,,,,,,,,
